final_query_clean,source_type,confidence_score,chunk_char_count,is_fallback,chunk_faithfulness,chunk_rank,timestamp,llm_output,date,hour,day_name,is_weekend,Execution_time,total_tokens,Model_used,query_length,query_word_count,response_length,Confidence_Category,chunk_character_count,num_chunks,source_evidence,root_cause,chunk_list
Hva er riktig høyde for meg dersom jeg er 180 høy?,Course_Material,0.82,675.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.9081672307429676,7295,Claude Haiku,50,11,0,Medium,675.0,3.0,Source context loaded,Success,[{'text': 'Hva er riktig høyde for meg dersom jeg er 180 høy?'}]
Hvordan kan jeg tilpasse min arbeidsplass for å unngå belastningsskader?,Course_Material,0.88,896.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.8911319058439102,2651,Claude Sonnet,72,10,0,High,896.0,3.0,Source context loaded,Success,[{'text': 'Hvordan kan jeg tilpasse min arbeidsplass for å unngå belastningsskader?'}]
Hvilke krav stiller arbeidsplassforskriften til ergonomi på kontoret?,Course_Material,0.92,961.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.971743934931359,6786,Claude Haiku,69,8,0,High,961.0,4.0,Source context loaded,Success,[{'text': 'Hvilke krav stiller arbeidsplassforskriften til ergonomi på kontoret?'}]
what about Arbeidsmiljøloven – aml ?,Course_Material,0.92,927.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.4751473307206817,6322,Claude Sonnet,36,6,0,High,927.0,4.0,Source context loaded,Success,[{'text': 'what about Arbeidsmiljøloven – aml ?'}]
Jeg trenger hjelp med å lage en værnerunde. Hva er viktig å ta med? spør meg noen spørsmål du trenger å vite om meg,Course_Material,0.75,1368.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.239049130961405,6608,Claude Haiku,115,24,0,Medium,1368.0,5.0,Source context loaded,Success,[{'text': 'Jeg trenger hjelp med å lage en værnerunde. Hva er viktig å ta med? spør meg noen spørsmål du trenger å vite om meg'}]
"Jeg jobber som snekker og er v-rneombud, Vi bruker alle typer værktøy. Ja det er rissiko ute på arbeidsplassen. Jeg starter på scratch.",Course_Material,0.85,1426.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.6281261728038237,3433,Claude Sonnet,135,23,0,Medium,1426.0,5.0,Source context loaded,Success,"[{'text': 'Jeg jobber som snekker og er v-rneombud, Vi bruker alle typer værktøy. Ja det er rissiko ute på arbeidsplassen. Jeg starter på scratch.'}]"
Kan du sette opp et enkelt forlsag med 10 punkter som bør være med på vernerunden?,Course_Material,0.88,1345.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.4007194336971607,6664,Claude Haiku,82,16,0,High,1345.0,5.0,Source context loaded,Success,[{'text': 'Kan du sette opp et enkelt forlsag med 10 punkter som bør være med på vernerunden?'}]
Hva er kravene til personlig verneutstyr for snekkere?,HSE_Laws,0.9,938.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.7992247170256899,2175,Claude Sonnet,54,8,0,High,938.0,4.0,Source context loaded,Success,[{'text': 'Hva er kravene til personlig verneutstyr for snekkere?'}]
Hvordan dokumenterer jeg funn fra vernerunden?,Course_Material,0.85,1307.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.7283073556951967,4954,Claude Haiku,46,6,0,Medium,1307.0,5.0,Source context loaded,Success,[{'text': 'Hvordan dokumenterer jeg funn fra vernerunden?'}]
Hvordan vurderer vi rømningsveier på verkstedet vårt?,HSE_Laws,0.88,1096.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.8249694141735036,1722,Claude Sonnet,53,7,0,High,1096.0,4.0,Source context loaded,Success,[{'text': 'Hvordan vurderer vi rømningsveier på verkstedet vårt?'}]
Hvordan skal risikovurderingen se ut? kan du gi meg 5 eksempler som skal vurderes?,HSE_Laws,0.92,3136.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.4250840034570453,4776,Claude Haiku,82,14,0,High,3136.0,11.0,Source context loaded,Success,[{'text': 'Hvordan skal risikovurderingen se ut? kan du gi meg 5 eksempler som skal vurderes?'}]
on which Contact details i can coccet with you for enrolled in new Course ?,General_course,0.85,861.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.038986503960876,3224,Claude Sonnet,75,15,0,Medium,861.0,3.0,Source context loaded,Success,[{'text': 'on which Contact details i can coccet with you for enrolled in new Course ?'}]
procide me course suppport contact details in TotakHMS?,General_course,0.85,724.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.8481700812171709,1898,Claude Haiku,55,8,0,Medium,724.0,3.0,Source context loaded,Success,[{'text': 'procide me course suppport contact details in TotakHMS?'}]
"What is the title, author, and level of course?",General_course,0.85,1021.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.7893806694936638,5832,Claude Sonnet,47,9,0,Medium,1021.0,4.0,Source context loaded,Success,"[{'text': 'What is the title, author, and level of course?'}]"
What are the prices for these courses?,General_course,0.95,466.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.2083389564731064,3382,Claude Haiku,38,7,0,High,466.0,2.0,Source context loaded,Success,[{'text': 'What are the prices for these courses?'}]
Tell me more about the Brannvernleder course,Course_Material,0.95,729.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.3080071073477937,6544,Claude Sonnet,44,7,0,High,729.0,3.0,Source context loaded,Success,[{'text': 'Tell me more about the Brannvernleder course'}]
list of the available course in system?,General_course,0.95,977.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.891548966894696,5011,Claude Haiku,39,7,0,High,977.0,4.0,Source context loaded,Success,[{'text': 'list of the available course in system?'}]
List of available course in the System?,General_course,0.95,1384.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.6122700281454827,2458,Claude Sonnet,39,7,0,High,1384.0,5.0,Source context loaded,Success,[{'text': 'List of available course in the System?'}]
hi,General_course,0.95,1332.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.7974328019980117,5743,Claude Haiku,2,1,0,High,1332.0,5.0,Source context loaded,Success,[{'text': 'hi'}]
What is HSE and sugegst me some course on it?,Course_Material | HSE_Laws,0.92,1539.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.486636932280099,3633,Claude Sonnet,45,10,0,High,1539.0,6.0,Source context loaded,Success,[{'text': 'What is HSE and sugegst me some course on it?'}]
Jeg trenger hjelp med å lage en værnerunde. Hva er viktig å ta med? spør meg noen spørsmål du trenger å vite om meg?,HSE_Laws,0.85,1552.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.4995270252119839,6005,Claude Haiku,116,24,0,Medium,1552.0,6.0,Source context loaded,Success,[{'text': 'Jeg trenger hjelp med å lage en værnerunde. Hva er viktig å ta med? spør meg noen spørsmål du trenger å vite om meg?'}]
what is your name and role ?,General_course,1.0,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.0482617154358842,3709,Claude Sonnet,28,7,0,High,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
summarized course stillasbyggerkurs in short ?,Course_Material,0.95,1150.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.5376913934022922,3866,Claude Haiku,46,6,0,High,1150.0,4.0,Source context loaded,Success,[{'text': 'summarized course stillasbyggerkurs in short ?'}]
what is the prise of this cousre?,Course_Material,0.3,667.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.857957823868686,4487,Claude Sonnet,33,7,0,Low,667.0,3.0,Source context loaded,Success,[{'text': 'what is the prise of this cousre?'}]
what is the prise all HSE of this cousre?,Course_Material,0.95,563.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.4283686537546552,5979,Claude Haiku,41,9,0,High,563.0,2.0,Source context loaded,Success,[{'text': 'what is the prise all HSE of this cousre?'}]
what is the prise of HMS-kurs grunnkurs for arbeidstaker ?,Course_Material,0.98,692.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.1140244782571185,7328,Claude Sonnet,58,10,0,High,692.0,3.0,Source context loaded,Success,[{'text': 'what is the prise of HMS-kurs grunnkurs for arbeidstaker ?'}]
"Hi,goog morning?",none,0.1,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.9266524183216691,2150,Claude Haiku,16,2,0,Low,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
what is yml and how can i use this documant?,none,0.3,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.9117736354827768,3070,Claude Sonnet,44,10,0,Low,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
List of Course available for me ?,General_Course,0.85,901.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.8984886125306613,3391,Claude Haiku,33,7,0,Medium,901.0,4.0,Source context loaded,Success,[{'text': 'List of Course available for me ?'}]
List of Course available for me?,General_Course,0.85,901.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.7851720907302084,3581,Claude Sonnet,32,6,0,Medium,901.0,4.0,Source context loaded,Success,[{'text': 'List of Course available for me?'}]
How can i register a instance for a fire burn in workspace?,HSE_Laws,0.75,889.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.158644987864632,4303,Claude Haiku,59,12,0,Medium,889.0,3.0,Source context loaded,Success,[{'text': 'How can i register a instance for a fire burn in workspace?'}]
"HI , what is your role?",Greeting,1.0,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.7947514005225853,7011,Claude Sonnet,23,6,0,High,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
Good Mormning,Greeting,1.0,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.5260068212140956,4554,Claude Haiku,13,2,0,High,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
Good Mormning Bro,Greeting,1.0,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.9724728949623385,3743,Claude Sonnet,17,3,0,High,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
Hi,Greeting,0.95,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.7706926152497016,5201,Claude Haiku,2,1,0,High,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
can you tell me what is HSE ?,none,0.0,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.7536117448315673,3493,Claude Sonnet,29,8,0,Low,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
List of HSE course ?,none,0.0,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.332228691037895,1984,Claude Haiku,20,5,0,Low,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
Hi how are you ?,none,0.0,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.495174597016204,7918,Claude Sonnet,16,5,0,Low,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
"Hi, what going on?",none,0.0,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.1845070310656753,3600,Claude Haiku,18,4,0,Low,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
What is your name?,none,0.0,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.9234587051495287,5305,Claude Sonnet,18,4,0,Low,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
best HSE course for me?,Course_KB,0.85,1235.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.2378703920114786,7570,Claude Haiku,23,5,0,Medium,1235.0,5.0,Source context loaded,Success,[{'text': 'best HSE course for me?'}]
Hello,Greeting,0.95,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.3212847431112806,5267,Claude Sonnet,5,1,0,High,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
How do I enroll in a course?,Course_KB,0.6,450.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.6261553827200856,2948,Claude Haiku,28,7,0,Medium,450.0,2.0,Source context loaded,Success,[{'text': 'How do I enroll in a course?'}]
"Hva er formålet med kurset ""Skreddersydd opplæring i brann og eksplosjonsvern i industrien?",Course_KB,0.95,575.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.5130581348613084,7991,Claude Sonnet,91,13,0,High,575.0,2.0,Source context loaded,Success,"[{'text': 'Hva er formålet med kurset ""Skreddersydd opplæring i brann og eksplosjonsvern i industrien?'}]"
List of Available Course for me ?,Course_KB,0.85,916.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.7811794658591014,7410,Claude Haiku,33,7,0,Medium,916.0,4.0,Source context loaded,Success,[{'text': 'List of Available Course for me ?'}]
how many of total course do you have ?,Course_KB,0.8,561.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.4754407679863735,2555,Claude Sonnet,38,9,0,Medium,561.0,2.0,Source context loaded,Success,[{'text': 'how many of total course do you have ?'}]
explain A-kriminformasjonsforskriften law ?,HSE_Law_KB,0.35,859.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.887034576075884,3023,Claude Haiku,43,4,0,Low,859.0,3.0,Source context loaded,Success,[{'text': 'explain A-kriminformasjonsforskriften law ?'}]
